,c2f6,c3f8,c4f10,c5f12,c6f14,c7f16,c8f18,c_c4f8,carbon_dioxide,carbon_tetrachloride,cf4,cfc113,cfc114,cfc115,cfc11,cfc12,ch2cl2,ch3ccl3,chcl3,halon1211,halon1301,halon2402,halon1202,hcfc141b,hcfc142b,hcfc22,hfc125,hfc134a,hfc143a,hfc152a,hfc227ea,hfc236fa,hfc23,hfc245fa,hfc32,hfc365mfc,hfc4310mee,methane,methyl_bromide,methyl_chloride,nf3,nitrous_oxide,sf6,so2f2,so2,nox,co,nmvoc,bc,nh3,oc,nox_avi
1867,2.7394196e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6449210608814702,2.4856862000000002e-05,1.0070544000000002e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0476689e-09,0.0,0.0,0.0,4.428853e-07,0.0,0.0,53.9410217812425,0.10493094000000001,4.2675026,0.0,0.4381310139500386,0.0,1.6339447000000002e-08,7.119763794229744,13.897618510058097,424.2969752987472,67.66026448741948,2.761022670595916,10.189133101169272,18.76835616658696,1.4561251012304033e-05
1868,2.7726501000000005e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646486101734251,2.4856862000000002e-05,1.0072022999999999e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0805177e-09,0.0,0.0,0.0,4.465778e-07,0.0,0.0,55.287673564162375,0.10489185999999999,4.2654483,0.0,0.44135403490192016,0.0,1.6455715e-08,7.325189710974375,14.331588558352989,434.930228259825,69.64729381366908,2.825140562350265,10.37220092308156,19.301247569591883,1.9071639781898237e-05
1869,2.8073395999999997e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6525186541643261,2.4856862000000002e-05,1.0810735e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1194221e-09,0.0,0.0,0.0,4.5096821000000004e-07,0.0,0.0,55.83359728305401,0.10493013999999999,4.267460900000001,0.0,0.44382759576919273,0.0,1.6574403e-08,7.571114078764871,13.94409189653389,426.4036167290826,67.9294955911712,2.785004316977476,10.311061269202527,18.888825035193037,2.38157502865653e-05
1870,2.8434933999999996e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6548005768128098,2.4856862000000002e-05,1.081075e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.152380400000002e-09,0.0,0.0,0.0,4.5467331e-07,0.0,0.0,56.9965923070036,0.10489317,4.2655174,0.0,0.44655879431561984,0.0,1.6690714000000002e-08,7.762947987099056,14.20074407011024,433.2287624497814,69.12187693609928,2.831200782445544,10.441023971231417,19.258120747383764,3.210357318611232e-05
1871,2.8811122000000004e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6834947974333205,2.4856862000000002e-05,1.0071314e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1911213e-09,0.0,0.0,0.0,4.590449e-07,0.0,0.0,57.57401422057298,0.10492871,4.2673856,0.0,0.45425336857788307,0.0,1.6809336e-08,8.019553553652756,14.02316495520306,425.1606513202936,67.42862357960736,2.7978303472693877,10.369497697943174,18.76177376623424,3.62943060237873e-05
1872,2.9201899000000003e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7839310388156535,2.4856862000000002e-05,1.0810765e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2288177000000015e-09,0.0,0.0,0.0,4.6329615e-07,0.0,0.0,58.18710545429253,0.10495075,4.2685441,0.0,0.4707770532516913,0.0,1.6927542e-08,8.48727315533725,13.725273260938083,417.7442733570141,65.84553711122807,2.771292693837977,10.330384237922804,18.365341648996967,4.47304460877138e-05
1873,2.9607326e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8046227389085162,2.4856862000000002e-05,1.081078e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263222400000002e-09,0.0,0.0,0.0,4.6716788e-07,0.0,0.0,59.62016165313301,0.10493223,4.2675705,0.0,0.49380449582237185,0.0,1.7044431000000002e-08,8.932963275339493,14.156463683462135,429.2802890411377,67.99437045089431,2.8416338477805057,10.56453511561426,18.937298904886617,7.760136049608141e-05
1874,3.0027407e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8028025622780102,2.4856862000000002e-05,1.0810794e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.295217800000002e-09,0.0,0.0,0.0,4.7076201000000005e-07,0.0,0.0,60.88850035180588,0.10488493,4.265084300000001,0.0,0.5216409980906428,0.0,1.7160358e-08,8.75070146459621,14.352255685607926,435.8041800080444,69.34908007240699,2.868058910153501,10.751611012739495,19.304810723709583,9.459271607632332e-05
1875,3.0462140000000003e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8228948308361258,2.4856862000000002e-05,1.0810809e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.334938700000001e-09,0.0,0.0,0.0,4.7524653000000004e-07,0.0,0.0,61.44717029579096,0.10493101,4.2675065000000005,0.0,0.5520632706728047,0.0,1.7279371999999998e-08,9.09083843679748,14.16158404148277,426.893495453106,67.4820885998621,2.8334891051221005,10.663545228962466,18.753876090158617,9.51671726602191e-05
1876,3.0911468e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8332842192941562,2.4856862000000002e-05,1.0810823999999899e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3683811999999996e-09,0.0,0.0,0.0,4.790074400000001e-07,0.0,0.0,62.60294810766919,0.10490175000000002,4.265968,0.0,0.5827772341523031,0.0,1.7395876000000003e-08,9.26618957848136,14.037110848208748,429.4805477313967,68.07266489194261,2.8431252665224327,10.831893028061607,19.00214066009369,0.0001178804836292
