"sample_id","d1","d2","d3","q1","q2","q3"
"mem119174",0.479484675,5.962976405,716.0597089,0.136017371,0.294049876,0.289963328
"mem119804",1.505760274,12.60585839,544.9258063,0.17407905,0.264512821,0.113731666
"mem120266",0.915726073,7.597774622,268.9791635,0.193098311,0.204755647,0.871893263
"mem120656",0.608202025,4.007304732,196.4398067,0.107508735,0.429694267,0.551100366
"mem12156",0.931559635,14.66052076,487.5302751,0.248851657,0.40701954,0.326062322
"mem124014",0.75513168,5.372161541,381.164128,0.0897607,0.242810267,1.204449179
"mem127172",1.5213724,9.204149959,159.0316538,0.254043486,0.142145323,0.427020588
"mem127544",2.661003775,6.80845643,291.6201637,0.240756517,0.089659053,0.822268805
"mem128485",1.053049662,7.654617293,184.9086964,0.171745829,0.194626849,0.405406959
"mem12971",0.8482062,5.968159756,496.8658997,0.173233452,0.297933084,0.450001306
"mem130774",1.449683318,12.88742662,244.5970674,0.237318921,0.324105926,0.231810856
"mem130862",0.859046466,9.657121799,294.8584668,0.206644004,0.148114056,0.307459819
"mem131124",0.708831122,7.090671207,626.1192902,0.128592718,0.328113725,0.337785175
"mem132459",1.063377725,6.191668756,582.8030853,0.257946703,0.132548171,1.283140627
"mem133311",1.08700003,14.29219093,581.7809304,0.273436933,0.218161217,0.061519243
"mem13600",0.517340603,4.58789892,378.5222251,0.10221953,0.513832255,0.437100109
"mem136303",1.407394949,9.089823978,520.0212354,0.293362391,0.12047136,0.347259426
"mem137161",0.476400253,3.89961539,461.5026085,0.094330767,0.352572619,0.192272526
"mem138860",0.844896515,7.60238572,391.5933734,0.222548174,0.124443346,0.396225491
"mem139102",1.375222357,15.56796266,682.9266419,0.254700285,0.110561707,0.462631483
"mem140394",0.627408359,6.268706705,750.0141039,0.13739689,0.419923848,0.389303105
"mem14089",0.831637852,4.767774263,222.3389428,0.099888357,0.521114287,0.436732619
"mem141239",0.657454365,5.860704709,138.2287686,0.111030419,0.201910847,1.282148779
"mem143057",0.724087419,13.80280009,1146.813485,0.145721833,0.228040074,0.217434374
"mem143402",0.779254663,7.497963211,471.685257,0.151623632,0.397946426,0.109641957
"mem144396",1.581445966,11.91324419,430.2492888,0.315784119,0.195772259,0.298089353
"mem144780",0.407093826,5.715886784,898.2007482,0.122335113,0.33825048,0.2104935
"mem145222",2.253185532,26.6609073,431.5940963,0.371095882,0.385296759,0.147984204
"mem145952",0.97438266,5.34248209,444.9546915,0.191850527,0.394243556,0.585901331
