"sample_id","global_temp_anomaly","thermal_box_1","thermal_box_2","thermal_box_3"
"mem108699",1.4273645056388664,0.7601028631494497,0.6183291901746957,0.024392754785696347
"mem10879",0.7365179359956746,0.4092166312252403,0.14528125280939633,0.19820435371023848
"mem108889",0.774080596003426,0.4056258226921935,0.1964723504021941,0.20433652564313873
"mem108954",0.965862057542935,0.4628779318658316,0.5010050370364821,0.01879765704651767
"mem108986",0.6924658547046005,0.2672881421473453,0.2619970932192475,0.20227552938400606
"mem109047",0.844900583926846,0.22447852270695012,0.5538708414974246,0.08766755491586353
"mem109058",0.7543798412366451,0.46813896234236163,0.24925289133861964,0.05903829610793924
"mem109163",0.7420160086916111,0.27537983830123347,0.47578731613369984,0.027512030416704816
"mem109487",0.8277431569468346,0.4457239021824164,0.4051141372817345,0.0015157992243246142
"mem109516",0.5651628972686003,0.37540239930565,0.20032499664975262,0.020963787213120238
"mem109543",0.8710279001853485,0.23730782948749346,0.5949428754898027,0.06855515787382373
"mem109594",0.9107007625861225,0.6773824187369684,0.14349356848019107,0.11264334438227795
"mem109780",0.6055816311820882,0.47027585710422276,0.13956183590485832,0.01978667356002946
"mem109895",0.8569152377732754,0.3349015418403484,0.5315319782665797,0.02007615017414987
"mem109998",0.6958032640608107,0.28957949972194647,0.12183098874492837,0.3167718391386494
"mem110310",0.8526939256632219,0.36929805013385,0.4782520438170203,0.024293179689703223
"mem110313",0.9495185520073419,0.6451737415357666,0.29488403227385146,0.01962971703408113
"mem11045",0.8562913986842113,0.2780276646794999,0.5541689983946185,0.038983599862896
"mem110615",0.9105037319021119,0.4812612770436352,0.28122735162365475,0.167511394650153
"mem110635",0.850111754709311,0.5144959497908931,0.2967278490445761,0.07381966252251022
"mem11065",0.7528724327040466,0.10257755671616366,0.5175579962303611,0.16540895702361919
"mem11073",0.7406945427330996,0.5038749651251375,0.15568512992993322,0.10693655773596346
"mem110749",0.8356967512213768,0.6964118276517698,0.11990492165044286,0.03404755025493769
"mem11093",0.8232484315066071,0.3779322214478317,0.4279672461515588,0.043551229985696216
"mem110958",0.869446960145965,0.09081672205790503,0.7057179696895408,0.08958667404365919
"mem1110",0.8991169826595711,0.4754745077438655,0.39978411820429405,0.03535664611595815
"mem111114",0.7833523478370626,0.379398194770985,0.32861608054754543,0.10321863589591793
"mem111157",0.7982805720084304,0.4817607701821147,0.340292083781074,0.005126963328532867
"mem111164",0.9219033493054583,0.05497067388190847,0.7267983513023809,0.1692753763446083
"mem111185",0.7899866741475993,0.5819830313442186,0.21181863173234777,0.01914162216050287
"mem111226",0.9154524206730951,0.6398774972563576,0.2487428601745464,0.04221373070931496
"mem111257",0.6551430305640761,0.4280860943619448,0.20794974849120326,0.04448596711881351
"mem111342",0.9068197285401214,0.662909134989061,0.11524646004990963,0.1489408522373533
"mem111358",0.9125491809554627,0.41040692419972313,0.45530103886335066,0.061923763866728314
"mem111360",0.9458844867243852,0.6058713285009908,0.04159266900936167,0.3233895835167657
"mem111361",0.8004758262765048,0.24720257311170932,0.5718461193869451,0.021978881665592837
"mem111434",0.8548522422864344,0.14989183450417085,0.7186732075869272,0.01019793176050089
"mem111465",1.0677368631303898,0.6194501389261975,0.4422709226504152,0.02699984042923848
"mem111669",0.9577494837636831,0.5188916725778433,0.20786789210337653,0.25183852859590966
"mem111825",0.6635306828740939,0.3163022324825864,0.2744869749551533,0.11226909344756347
"mem111829",0.6124700162813207,0.2855408262572544,0.33815236654906483,0.014205993250109204
"mem111851",0.8143869942227115,0.42325351625141844,0.3739057823101021,0.03371602780766468
