"sample_id","land_use","volcanic","solar"
"mem219356",1.611580237,0.492443139,1.182088009
"mem220001",0.43829125,0.780002817,1.275179699
"mem220222",0.795694558,1.245428181,0.920990174
"mem221847",0.915020393,1.053638658,0.687877116
"mem222050",-0.380346172,1.150871941,0.205222413
"mem222424",0.930811058,1.020563768,2.288687276
"mem222828",0.598022497,1.272279459,1.315771257
"mem223510",1.170175813,0.68924255,1.648848968
"mem224201",1.303056298,1.040100531,1.192773877
"mem224632",0.588283211,0.906131224,1.166172433
"mem224818",1.085046524,0.478491434,1.435191791
"mem225183",0.376308894,1.189659328,1.961476145
"mem227167",0.685666315,1.286963564,0.302124187
"mem227535",0.471933219,0.937216591,1.028711927
"mem227546",1.602934385,0.760108108,1.134922516
"mem232377",1.481585437,0.748281166,0.961656323
"mem232597",1.737639111,0.330525493,1.21275328
"mem233837",0.814055732,0.735973486,0.296642421
"mem234186",0.748107071,1.201080762,1.103700738
"mem235443",1.346828184,1.063470778,0.535160297
"mem235739",0.392933308,0.812682051,0.191617066
"mem236270",1.341124711,1.099822342,1.533320722
"mem236332",0.563379561,0.632911022,0.843340732
"mem236700",1.317449911,1.0462439,0.658465003
"mem239889",0.730242157,1.342868819,0.509909074
"mem241137",0.530683836,0.769191718,0.617069954
"mem24134",0.824028775,1.002774041,0.845480175
"mem243083",0.555614588,0.935681659,1.197141785
"mem244194",1.356655234,0.71262994,0.968794742
"mem244570",1.101136736,0.739313486,0.315915421
"mem245349",1.620365873,0.698718114,0.354732578
"mem246055",0.674933035,0.501158401,1.738066387
"mem246764",0.772556141,0.644106515,0.986206656
"mem246944",1.285999888,1.044332127,1.088530198
"mem247258",0.469460982,1.401962182,2.22026549
"mem249246",0.591340367,1.296398252,-0.377785175
"mem249959",0.541028154,1.239105365,0.497683827
"mem25284",0.426396529,0.426405277,1.136510127
"mem253022",1.260528514,1.103657609,0.301146019
"mem25321",0.959383121,0.650345381,0.610238319
"mem253728",1.577181155,1.256156434,2.4495639
"mem254052",0.897627403,1.265929465,-0.302397898
"mem254271",1.87602348,0.402791242,1.376577593
"mem254928",1.147902416,1.502060523,1.163496859
"mem255913",1.58268614,0.184778156,1.177105824
"mem256524",0.506214447,0.606875581,-0.060377567
"mem257406",1.328940745,1.08430765,0.515280975
