Forcing component,bc,bc|aci,bc|bc_on_snow,c2f6,c3f8,c4f10,c5f12,c6f14,c7f16,c8f18,c_c4f8,carbon_dioxide,carbon_tetrachloride,carbon_tetrachloride|o3,cf4,cfc11,cfc113,cfc113|o3,cfc114,cfc114|o3,cfc115,cfc115|o3,cfc11|o3,cfc12,cfc12|o3,ch2cl2,ch2cl2|o3,ch3ccl3,ch3ccl3|o3,chcl3,chcl3|o3,co,co|o3,halon1202,halon1202|o3,halon1211,halon1211|o3,halon1301,halon1301|o3,halon2402,halon2402|o3,hcfc141b,hcfc141b|o3,hcfc142b,hcfc142b|o3,hcfc22,hcfc22|o3,hfc125,hfc134a,hfc143a,hfc152a,hfc227ea,hfc23,hfc236fa,hfc245fa,hfc32,hfc365mfc,hfc4310mee,methane,methane|strat_h2o,methane|o3,methyl_bromide,methyl_bromide|o3,methyl_chloride,methyl_chloride|o3,nf3,nh3,nitrous_oxide,nitrous_oxide|o3,nmvoc,nmvoc|o3,nox,nox_avi,nox_avi|contrails,nox|o3,oc,oc|aci,sf6,so2,so2f2,so2|aci,External,Total
1771,0.001744367,-0.000246641,0.000357049,0,0,0,0,0,0,0,0,0.010220703,2.48E-06,-3.63E-06,1.25E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000672974,0,0,9.01E-07,-1.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03E-11,0,0,0,2.10E-09,0,0,0.038983236,0.00245186,0.00914538,-5.31E-09,4.08E-06,-5.85E-07,7.33E-06,0,0,0.000843029,0.000173327,0,0.000154078,0,0,0,0.000144768,-0.002966649,-0.001346918,0,-0.000376488,3.27E-10,-0.000444892,0.169633312,0.229143959
1772,0.000506407,-7.16E-05,0.000103655,0,0,0,0,0,0,0,0,0.010711533,2.56E-06,-3.75E-06,1.30E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77E-05,0,0,9.20E-07,-1.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-10,0,0,0,2.36E-09,0,0,0.039470993,0.00248312,0.00926198,-2.49E-09,1.91E-06,-2.94E-07,3.68E-06,0,0,0.000887409,0.000182454,0,-0.000127737,0,0,0,-0.000118342,0.00146998,0.000667401,0,-0.000150796,3.74E-10,-0.000178219,0.208678479,0.273810194
1773,-9.51E-05,1.34E-05,-1.95E-05,0,0,0,0,0,0,0,0,0.011208483,2.63E-06,-3.86E-06,1.36E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000291549,0,0,9.39E-07,-1.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E-10,0,0,0,2.62E-09,0,0,0.039919828,0.002511898,0.009369323,-1.87E-09,1.44E-06,-2.18E-07,2.72E-06,0,0,0.000932344,0.000191696,0,-0.000280831,0,0,0,-0.00029789,0.003756518,0.001705534,0,-3.95E-05,4.20E-10,-4.67E-05,0.195427307,0.263959581
1774,0.000898495,-0.000127041,0.00018391,0,0,0,0,0,0,0,0,0.01171169,2.71E-06,-3.97E-06,1.42E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205557,0,0,9.56E-07,-1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24E-10,0,0,0,2.88E-09,0,0,0.04041343,0.002543561,0.009487425,-5.91E-09,4.54E-06,-6.34E-07,7.93E-06,0,0,0.000977846,0.000201054,0,-8.52E-05,0,0,0,-0.000225942,0.000350431,0.000159103,0,-0.000143956,4.67E-10,-0.000170136,0.162240998,0.228623228
1775,0.002271382,-0.000321157,0.000464922,0,0,0,0,0,0,0,0,0.012220713,2.78E-06,-4.07E-06,1.48E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000813282,0,0,9.72E-07,-1.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35E-10,0,0,0,3.14E-09,0,0,0.040918596,0.002575981,0.009608351,-8.22E-09,6.32E-06,-8.91E-07,1.12E-05,0,0,0.001023929,0.000210531,0,0.000144914,0,0,0,1.39E-05,-0.00304724,-0.001383508,0,-0.000271877,5.14E-10,-0.000321295,0.128907771,0.193835805
1776,0.002010575,-0.00028428,0.000411538,0,0,0,0,0,0,0,0,0.012736969,2.85E-06,-4.18E-06,1.54E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614996,0,0,9.87E-07,-1.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47E-10,0,0,0,3.40E-09,0,0,0.041353311,0.002603892,0.009712458,-8.01E-09,6.15E-06,-8.85E-07,1.11E-05,0,0,0.001070606,0.000220132,0,4.15E-05,0,0,0,-9.77E-05,-0.001477329,-0.000670737,0,-0.000225693,5.61E-10,-0.000266724,0.108404727,0.176164379
1777,0.002295222,-0.000324527,0.000469801,0,0,0,0,0,0,0,0,0.013260572,2.92E-06,-4.28E-06,1.59E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000656539,0,0,1.00E-06,-1.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58E-10,0,0,0,3.66E-09,0,0,0.041780547,0.002631334,0.009814816,-7.93E-09,6.09E-06,-8.80E-07,1.10E-05,0,0,0.001117892,0.000229857,0,3.77E-05,0,0,0,-0.000104146,-0.001370151,-0.000622076,0,-0.000244719,6.07E-10,-0.000289205,0.112277683,0.18162316
1778,0.003937811,-0.000556777,0.000806017,0,0,0,0,0,0,0,0,0.013790575,2.98E-06,-4.37E-06,1.65E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001306865,0,0,1.01E-06,-1.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69E-10,0,0,0,3.92E-09,0,0,0.042239838,0.002660847,0.0099249,-7.55E-09,5.80E-06,-8.42E-07,1.05E-05,0,0,0.0011658,0.000239712,0,0.000270229,0,0,0,0.000318335,-0.004283678,-0.001944876,0,-0.000392383,6.54E-10,-0.00046367,0.156780891,0.225805577
1779,0.004351702,-0.000615298,0.000890735,0,0,0,0,0,0,0,0,0.014328102,3.05E-06,-4.47E-06,1.71E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001471901,0,0,1.03E-06,-1.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80E-10,0,0,0,4.18E-09,0,0,0.042674584,0.002688795,0.010029144,-8.52E-09,6.54E-06,-9.41E-07,1.18E-05,0,0,0.001214345,0.000249697,0,0.000317531,0,0,0,0.000347599,-0.005098911,-0.002315008,0,-0.000420277,7.01E-10,-0.000496623,0.227988706,0.297613644
1780,0.004347525,-0.000614708,0.00088988,0,0,0,0,0,0,0,0,0.014874267,3.11E-06,-4.56E-06,1.77E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001480307,0,0,1.04E-06,-1.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92E-10,0,0,0,4.44E-09,0,0,0.043101829,0.002716272,0.010131632,-1.26E-08,9.69E-06,-1.37E-06,1.72E-05,0,0,0.001263542,0.000259817,0,0.000318881,0,0,0,9.69E-05,-0.006062198,-0.002752359,0,-0.000408153,7.47E-10,-0.000482301,0.270547272,0.339723334
1781,0.004880215,-0.000690026,0.000998915,0,0,0,0,0,0,0,0,0.015431345,3.17E-06,-4.65E-06,1.82E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001674224,0,0,1.05E-06,-1.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03E-10,0,0,0,4.70E-09,0,0,0.043526185,0.002743574,0.010233467,-1.34E-08,1.03E-05,-1.48E-06,1.85E-05,0,0,0.001313406,0.000270074,0,0.000386789,0,0,0,0.000100707,-0.007417817,-0.003367838,0,-0.000474675,7.94E-10,-0.000560885,0.270165578,0.339229916
1782,0.004561309,-0.000644935,0.000933639,0,0,0,0,0,0,0,0,0.015998502,3.23E-06,-4.73E-06,1.88E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001490412,0,0,1.06E-06,-1.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14E-10,0,0,0,4.96E-09,0,0,0.043911091,0.002768347,0.01032587,-1.07E-08,8.25E-06,-1.21E-06,1.51E-05,0,0,0.001363951,0.000280471,0,0.00030149,0,0,0,-3.27E-05,-0.006212063,-0.002820401,0,-0.000458022,8.41E-10,-0.000541213,0.245647271,0.316884424
1783,0.003750525,-0.000530296,0.000767682,0,0,0,0,0,0,0,0,0.016573094,3.29E-06,-4.81E-06,1.94E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001156841,0,0,1.07E-06,-1.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25E-10,0,0,0,5.22E-09,0,0,0.044266008,0.002791198,0.010411104,-9.88E-09,7.59E-06,-1.11E-06,1.39E-05,0,0,0.001415194,0.000291013,0,0.000163847,0,0,0,-0.00031199,-0.004654581,-0.002113273,0,-0.000395519,8.87E-10,-0.000467376,-1.584319393,-1.511196351
1784,0.003094368,-0.000437521,0.000633376,0,0,0,0,0,0,0,0,0.017134149,3.34E-06,-4.89E-06,2.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078312,0,0,1.08E-06,-1.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37E-10,0,0,0,5.49E-09,0,0,0.044600601,0.002812747,0.010491483,-8.01E-09,6.15E-06,-9.07E-07,1.14E-05,0,0,0.001467149,0.000301701,0,-1.08E-05,0,0,0,-0.000342313,-0.001378001,-0.00062564,0,-0.000312815,9.34E-10,-0.000369665,-3.508512819,-3.430665094
